iter	Passed	Remaining
742	4535	1568
743	4537	1561
744	4539	1553
745	4541	1546
746	4543	1538
747	4544	1531
748	4546	1523
749	4548	1516
750	4550	1508
751	4552	1501
752	4553	1493
753	4555	1486
754	4557	1478
755	4559	1471
756	4560	1464
757	4562	1456
758	4564	1449
759	4565	1441
760	4567	1434
761	4568	1427
762	4571	1420
763	4573	1412
764	4574	1405
765	4576	1398
766	4578	1390
767	4579	1383
768	4581	1376
769	4583	1368
770	4584	1361
771	4586	1354
772	4588	1347
773	4589	1340
774	4591	1332
775	4594	1326
776	4596	1319
777	4597	1311
778	4599	1304
779	4600	1297
780	4602	1290
781	4603	1283
782	4605	1276
783	4607	1269
784	4608	1262
785	4610	1255
786	4611	1248
787	4613	1241
788	4615	1234
789	4617	1227
790	4619	1220
791	4620	1213
792	4622	1206
793	4623	1199
794	4625	1192
795	4626	1185
796	4628	1178
797	4630	1172
798	4631	1165
799	4633	1158
800	4634	1151
801	4636	1144
802	4639	1138
803	4640	1131
804	4642	1124
805	4643	1117
806	4645	1110
807	4646	1104
808	4648	1097
809	4651	1091
810	4653	1084
811	4655	1077
812	4657	1071
813	4662	1065
814	4664	1058
815	4666	1052
816	4668	1045
817	4670	1039
818	4671	1032
819	4673	1025
820	4675	1019
821	4676	1012
822	4678	1006
823	4679	999
824	4681	993
825	4684	986
826	4686	980
827	4688	973
828	4689	967
829	4691	960
830	4692	954
831	4694	947
832	4696	941
833	4697	935
834	4699	928
835	4701	922
836	4702	915
837	4704	909
838	4707	903
839	4709	897
840	4711	890
841	4712	884
842	4714	877
843	4715	871
844	4717	865
845	4718	859
846	4720	852
847	4722	846
848	4723	840
849	4725	833
850	4726	827
851	4729	821
852	4731	815
853	4732	809
854	4734	802
855	4736	796
856	4737	790
857	4739	784
858	4740	778
859	4742	772
860	4744	765
861	4745	759
862	4747	753
863	4748	747
864	4752	741
865	4753	735
866	4755	729
867	4756	723
868	4758	717
869	4760	711
870	4761	705
871	4763	699
872	4764	693
873	4766	687
874	4767	681
875	4769	675
876	4771	669
877	4774	663
878	4776	657
879	4778	651
880	4779	645
881	4781	639
882	4783	633
883	4785	627
884	4787	622
885	4789	616
886	4790	610
887	4792	604
888	4794	598
889	4797	592
890	4798	587
891	4800	581
892	4801	575
893	4803	569
894	4804	563
895	4806	557
896	4808	552
897	4809	546
898	4811	540
899	4812	534
900	4814	528
901	4815	523
902	4817	517
903	4820	511
904	4822	506
905	4823	500
906	4825	494
907	4826	489
908	4828	483
909	4829	477
910	4831	472
911	4833	466
912	4834	460
913	4836	455
914	4837	449
915	4839	443
916	4841	438
917	4843	432
918	4844	427
919	4846	421
920	4848	415
921	4849	410
922	4851	404
923	4852	399
924	4854	393
925	4855	388
926	4857	382
927	4858	376
928	4860	371
929	4861	365
930	4864	360
931	4866	355
932	4867	349
933	4869	344
934	4870	338
935	4872	333
936	4873	327
937	4875	322
938	4877	316
939	4878	311
940	4880	305
941	4881	300
942	4883	295
943	4886	289
944	4887	284
945	4889	279
946	4890	273
947	4892	268
948	4893	262
949	4895	257
950	4896	252
951	4898	246
952	4899	241
953	4901	236
954	4903	231
955	4904	225
956	4906	220
957	4909	215
958	4911	209
959	4913	204
960	4914	199
961	4916	194
962	4918	188
963	4919	183
964	4921	178
965	4923	173
966	4924	168
967	4926	162
968	4928	157
969	4931	152
970	4932	147
971	4934	142
972	4936	136
973	4937	131
974	4939	126
975	4941	121
976	4942	116
977	4944	111
978	4945	106
979	4947	100
980	4949	95
981	4950	90
982	4954	85
983	4955	80
984	4957	75
985	4959	70
986	4960	65
987	4962	60
988	4963	55
989	4965	50
990	4967	45
991	4969	40
992	4970	35
993	4972	30
994	4974	24
995	4977	19
996	4979	14
997	4981	9
998	4983	4
999	4984	0
